roof_type_code,roof_type_name,default_u_w_m2k,notes
R1,Pitched roof without suspended ceiling,,Supplied Sri Lanka adjusted roof type 1
R2,Pitched roof with suspended ceiling,,Supplied Sri Lanka adjusted roof type 2
R3,Concrete slab with cover & suspended ceiling,,Supplied Sri Lanka adjusted roof type 3
R4,Concrete slab & attic ventilation with good insulation & suspended ceiling,,Supplied Sri Lanka adjusted roof type 4
